2025-06-29 04:27:25.189 | INFO     | __main__:<module>:126 - Epoch = 41 / 60
2025-06-29 04:31:18.850 | INFO     | __main__:<module>:169 - Training time taken = 233.66 seconds, Evaluation time taken = nan seconds, loss = 0.03588, fid = None
2025-06-29 04:31:18.850 | INFO     | __main__:<module>:126 - Epoch = 42 / 60
2025-06-29 04:35:11.901 | INFO     | __main__:<module>:169 - Training time taken = 233.05 seconds, Evaluation time taken = nan seconds, loss = 0.03557, fid = None
2025-06-29 04:35:11.901 | INFO     | __main__:<module>:126 - Epoch = 43 / 60
2025-06-29 04:39:04.520 | INFO     | __main__:<module>:169 - Training time taken = 232.62 seconds, Evaluation time taken = nan seconds, loss = 0.03563, fid = None
2025-06-29 04:39:04.520 | INFO     | __main__:<module>:126 - Epoch = 44 / 60
2025-06-29 04:42:57.227 | INFO     | __main__:<module>:169 - Training time taken = 232.71 seconds, Evaluation time taken = nan seconds, loss = 0.03525, fid = None
2025-06-29 04:42:57.227 | INFO     | __main__:<module>:126 - Epoch = 45 / 60
2025-06-29 04:46:50.229 | INFO     | __main__:<module>:169 - Training time taken = 233.0 seconds, Evaluation time taken = nan seconds, loss = 0.03524, fid = None
2025-06-29 04:46:50.229 | INFO     | __main__:<module>:126 - Epoch = 46 / 60
2025-06-29 04:50:43.063 | INFO     | __main__:<module>:169 - Training time taken = 232.83 seconds, Evaluation time taken = nan seconds, loss = 0.03535, fid = None
2025-06-29 04:50:43.063 | INFO     | __main__:<module>:126 - Epoch = 47 / 60
2025-06-29 04:54:36.157 | INFO     | __main__:<module>:169 - Training time taken = 233.09 seconds, Evaluation time taken = nan seconds, loss = 0.03513, fid = None
2025-06-29 04:54:36.157 | INFO     | __main__:<module>:126 - Epoch = 48 / 60
2025-06-29 04:58:29.903 | INFO     | __main__:<module>:169 - Training time taken = 233.75 seconds, Evaluation time taken = nan seconds, loss = 0.03482, fid = None
2025-06-29 04:58:29.903 | INFO     | __main__:<module>:126 - Epoch = 49 / 60
2025-06-29 05:02:23.244 | INFO     | __main__:<module>:169 - Training time taken = 233.34 seconds, Evaluation time taken = nan seconds, loss = 0.03459, fid = None
2025-06-29 05:02:23.244 | INFO     | __main__:<module>:126 - Epoch = 50 / 60
2025-06-29 05:06:16.747 | INFO     | __main__:<module>:169 - Training time taken = 233.5 seconds, Evaluation time taken = nan seconds, loss = 0.03462, fid = None
2025-06-29 05:06:16.747 | INFO     | __main__:<module>:126 - Epoch = 51 / 60
2025-06-29 05:10:10.480 | INFO     | __main__:<module>:169 - Training time taken = 233.73 seconds, Evaluation time taken = nan seconds, loss = 0.0346, fid = None
2025-06-29 05:10:10.480 | INFO     | __main__:<module>:126 - Epoch = 52 / 60
2025-06-29 05:14:04.053 | INFO     | __main__:<module>:169 - Training time taken = 233.57 seconds, Evaluation time taken = nan seconds, loss = 0.03428, fid = None
2025-06-29 05:14:04.053 | INFO     | __main__:<module>:126 - Epoch = 53 / 60
2025-06-29 05:17:57.054 | INFO     | __main__:<module>:169 - Training time taken = 233.0 seconds, Evaluation time taken = nan seconds, loss = 0.03443, fid = None
2025-06-29 05:17:57.055 | INFO     | __main__:<module>:126 - Epoch = 54 / 60
