2025-07-01 19:11:11.802 | INFO     | __main__:<module>:133 - Epoch = 38 / 120
2025-07-01 19:15:14.745 | INFO     | __main__:<module>:176 - Training time taken = 242.94 seconds, Evaluation time taken = nan seconds, loss = 0.03552, fid = None
2025-07-01 19:15:14.746 | INFO     | __main__:<module>:133 - Epoch = 39 / 120
2025-07-01 19:19:11.049 | INFO     | __main__:<module>:176 - Training time taken = 236.3 seconds, Evaluation time taken = nan seconds, loss = 0.03569, fid = None
2025-07-01 19:19:11.050 | INFO     | __main__:<module>:133 - Epoch = 40 / 120
2025-07-01 19:23:08.288 | INFO     | __main__:<module>:176 - Training time taken = 237.24 seconds, Evaluation time taken = nan seconds, loss = 0.03582, fid = None
2025-07-01 19:23:08.288 | INFO     | __main__:<module>:133 - Epoch = 41 / 120
2025-07-01 19:27:12.460 | INFO     | __main__:<module>:176 - Training time taken = 244.17 seconds, Evaluation time taken = nan seconds, loss = 0.03571, fid = None
2025-07-01 19:27:12.460 | INFO     | __main__:<module>:133 - Epoch = 42 / 120
2025-07-01 19:31:23.793 | INFO     | __main__:<module>:176 - Training time taken = 251.33 seconds, Evaluation time taken = nan seconds, loss = 0.03551, fid = None
2025-07-01 19:31:23.793 | INFO     | __main__:<module>:133 - Epoch = 43 / 120
2025-07-01 19:35:32.982 | INFO     | __main__:<module>:176 - Training time taken = 249.19 seconds, Evaluation time taken = nan seconds, loss = 0.03562, fid = None
2025-07-01 19:35:32.982 | INFO     | __main__:<module>:133 - Epoch = 44 / 120
2025-07-01 19:39:42.553 | INFO     | __main__:<module>:176 - Training time taken = 249.57 seconds, Evaluation time taken = nan seconds, loss = 0.03531, fid = None
2025-07-01 19:39:42.553 | INFO     | __main__:<module>:133 - Epoch = 45 / 120
2025-07-01 19:43:49.789 | INFO     | __main__:<module>:176 - Training time taken = 247.24 seconds, Evaluation time taken = nan seconds, loss = 0.03537, fid = None
2025-07-01 19:43:49.790 | INFO     | __main__:<module>:133 - Epoch = 46 / 120
2025-07-01 19:47:57.674 | INFO     | __main__:<module>:176 - Training time taken = 247.88 seconds, Evaluation time taken = nan seconds, loss = 0.0353, fid = None
2025-07-01 19:47:57.674 | INFO     | __main__:<module>:133 - Epoch = 47 / 120
2025-07-01 19:52:08.508 | INFO     | __main__:<module>:176 - Training time taken = 250.83 seconds, Evaluation time taken = nan seconds, loss = 0.03508, fid = None
2025-07-01 19:52:08.509 | INFO     | __main__:<module>:133 - Epoch = 48 / 120
2025-07-01 19:56:17.550 | INFO     | __main__:<module>:176 - Training time taken = 249.04 seconds, Evaluation time taken = nan seconds, loss = 0.03493, fid = None
2025-07-01 19:56:17.550 | INFO     | __main__:<module>:133 - Epoch = 49 / 120
2025-07-01 20:00:29.141 | INFO     | __main__:<module>:176 - Training time taken = 251.59 seconds, Evaluation time taken = nan seconds, loss = 0.03463, fid = None
2025-07-01 20:00:29.143 | INFO     | __main__:<module>:133 - Epoch = 50 / 120
2025-07-01 20:04:41.675 | INFO     | __main__:<module>:176 - Training time taken = 252.53 seconds, Evaluation time taken = nan seconds, loss = 0.0347, fid = None
2025-07-01 20:04:41.676 | INFO     | __main__:<module>:133 - Epoch = 51 / 120
2025-07-01 20:08:51.225 | INFO     | __main__:<module>:176 - Training time taken = 249.54 seconds, Evaluation time taken = nan seconds, loss = 0.03458, fid = None
