2026-02-19 02:20:29.340 | INFO     | __main__:<module>:209 - Training time taken = 197.4 seconds, Evaluation time taken = nan seconds, loss = 0.03414, fid = None
2026-02-19 02:20:29.341 | INFO     | __main__:<module>:152 - Epoch = 57 / 240
2026-02-19 02:23:47.589 | INFO     | __main__:<module>:209 - Training time taken = 198.25 seconds, Evaluation time taken = nan seconds, loss = 0.03416, fid = None
2026-02-19 02:23:47.589 | INFO     | __main__:<module>:152 - Epoch = 58 / 240
2026-02-19 02:27:06.045 | INFO     | __main__:<module>:209 - Training time taken = 198.46 seconds, Evaluation time taken = nan seconds, loss = 0.03328, fid = None
2026-02-19 02:27:06.045 | INFO     | __main__:<module>:152 - Epoch = 59 / 240
2026-02-19 02:30:23.530 | INFO     | __main__:<module>:209 - Training time taken = 197.48 seconds, Evaluation time taken = nan seconds, loss = 0.03376, fid = None
2026-02-19 02:30:23.531 | INFO     | __main__:<module>:152 - Epoch = 60 / 240
2026-02-19 02:33:40.869 | INFO     | __main__:<module>:209 - Training time taken = 197.34 seconds, Evaluation time taken = nan seconds, loss = 0.03376, fid = None
2026-02-19 02:33:40.870 | INFO     | __main__:<module>:152 - Epoch = 61 / 240
2026-02-19 02:36:58.885 | INFO     | __main__:<module>:209 - Training time taken = 198.02 seconds, Evaluation time taken = nan seconds, loss = 0.03315, fid = None
2026-02-19 02:36:58.886 | INFO     | __main__:<module>:152 - Epoch = 62 / 240
2026-02-19 02:40:16.043 | INFO     | __main__:<module>:209 - Training time taken = 197.16 seconds, Evaluation time taken = nan seconds, loss = 0.03377, fid = None
2026-02-19 02:40:16.043 | INFO     | __main__:<module>:152 - Epoch = 63 / 240
2026-02-19 02:43:33.737 | INFO     | __main__:<module>:209 - Training time taken = 197.69 seconds, Evaluation time taken = nan seconds, loss = 0.034, fid = None
2026-02-19 02:43:33.738 | INFO     | __main__:<module>:152 - Epoch = 64 / 240
2026-02-19 02:46:53.470 | INFO     | __main__:<module>:209 - Training time taken = 199.73 seconds, Evaluation time taken = nan seconds, loss = 0.03312, fid = None
2026-02-19 02:46:53.470 | INFO     | __main__:<module>:152 - Epoch = 65 / 240
2026-02-19 02:50:11.083 | INFO     | __main__:<module>:209 - Training time taken = 197.61 seconds, Evaluation time taken = nan seconds, loss = 0.0338, fid = None
2026-02-19 02:50:11.083 | INFO     | __main__:<module>:152 - Epoch = 66 / 240
2026-02-19 02:53:28.660 | INFO     | __main__:<module>:209 - Training time taken = 197.58 seconds, Evaluation time taken = nan seconds, loss = 0.03356, fid = None
2026-02-19 02:53:28.660 | INFO     | __main__:<module>:152 - Epoch = 67 / 240
2026-02-19 02:56:47.715 | INFO     | __main__:<module>:209 - Training time taken = 199.05 seconds, Evaluation time taken = nan seconds, loss = 0.03403, fid = None
2026-02-19 02:56:47.716 | INFO     | __main__:<module>:152 - Epoch = 68 / 240
2026-02-19 03:00:05.010 | INFO     | __main__:<module>:209 - Training time taken = 197.29 seconds, Evaluation time taken = nan seconds, loss = 0.0341, fid = None
2026-02-19 03:00:05.011 | INFO     | __main__:<module>:152 - Epoch = 69 / 240
2026-02-19 03:03:22.149 | INFO     | __main__:<module>:209 - Training time taken = 197.14 seconds, Evaluation time taken = nan seconds, loss = 0.03385, fid = None
2026-02-19 03:03:22.149 | INFO     | __main__:<module>:152 - Epoch = 70 / 240
2026-02-19 03:06:39.253 | INFO     | __main__:<module>:209 - Training time taken = 197.1 seconds, Evaluation time taken = nan seconds, loss = 0.03362, fid = None
2026-02-19 03:06:39.253 | INFO     | __main__:<module>:152 - Epoch = 71 / 240
2026-02-19 03:09:56.570 | INFO     | __main__:<module>:209 - Training time taken = 197.32 seconds, Evaluation time taken = nan seconds, loss = 0.03351, fid = None
2026-02-19 03:09:56.570 | INFO     | __main__:<module>:152 - Epoch = 72 / 240
2026-02-19 03:13:13.536 | INFO     | __main__:<module>:209 - Training time taken = 196.97 seconds, Evaluation time taken = nan seconds, loss = 0.03376, fid = None
2026-02-19 03:13:13.536 | INFO     | __main__:<module>:152 - Epoch = 73 / 240
2026-02-19 03:16:30.575 | INFO     | __main__:<module>:209 - Training time taken = 197.04 seconds, Evaluation time taken = nan seconds, loss = 0.03334, fid = None
2026-02-19 03:16:30.576 | INFO     | __main__:<module>:152 - Epoch = 74 / 240
2026-02-19 03:19:47.612 | INFO     | __main__:<module>:209 - Training time taken = 197.04 seconds, Evaluation time taken = nan seconds, loss = 0.03348, fid = None
2026-02-19 03:19:47.612 | INFO     | __main__:<module>:152 - Epoch = 75 / 240
2026-02-19 03:23:04.917 | INFO     | __main__:<module>:209 - Training time taken = 197.3 seconds, Evaluation time taken = nan seconds, loss = 0.03383, fid = None
2026-02-19 03:23:04.917 | INFO     | __main__:<module>:152 - Epoch = 76 / 240
2026-02-19 03:26:23.112 | INFO     | __main__:<module>:209 - Training time taken = 198.2 seconds, Evaluation time taken = nan seconds, loss = 0.03315, fid = None
2026-02-19 03:26:23.113 | INFO     | __main__:<module>:152 - Epoch = 77 / 240
2026-02-19 03:29:40.049 | INFO     | __main__:<module>:209 - Training time taken = 196.94 seconds, Evaluation time taken = nan seconds, loss = 0.0331, fid = None
2026-02-19 03:29:40.050 | INFO     | __main__:<module>:152 - Epoch = 78 / 240
2026-02-19 03:32:57.032 | INFO     | __main__:<module>:209 - Training time taken = 196.98 seconds, Evaluation time taken = nan seconds, loss = 0.03355, fid = None
2026-02-19 03:32:57.033 | INFO     | __main__:<module>:152 - Epoch = 79 / 240
2026-02-19 03:36:15.473 | INFO     | __main__:<module>:209 - Training time taken = 198.44 seconds, Evaluation time taken = nan seconds, loss = 0.03356, fid = None
2026-02-19 03:36:15.473 | INFO     | __main__:<module>:152 - Epoch = 80 / 240
2026-02-19 03:39:32.912 | INFO     | __main__:<module>:209 - Training time taken = 197.44 seconds, Evaluation time taken = nan seconds, loss = 0.03331, fid = None
2026-02-19 03:39:32.912 | INFO     | __main__:<module>:152 - Epoch = 81 / 240
2026-02-19 03:42:50.348 | INFO     | __main__:<module>:209 - Training time taken = 197.44 seconds, Evaluation time taken = nan seconds, loss = 0.03326, fid = None
2026-02-19 03:42:50.348 | INFO     | __main__:<module>:152 - Epoch = 82 / 240
2026-02-19 03:46:07.635 | INFO     | __main__:<module>:209 - Training time taken = 197.29 seconds, Evaluation time taken = nan seconds, loss = 0.0327, fid = None
2026-02-19 03:46:07.635 | INFO     | __main__:<module>:152 - Epoch = 83 / 240
2026-02-19 03:49:24.792 | INFO     | __main__:<module>:209 - Training time taken = 197.16 seconds, Evaluation time taken = nan seconds, loss = 0.03336, fid = None
2026-02-19 03:49:24.792 | INFO     | __main__:<module>:152 - Epoch = 84 / 240
2026-02-19 03:52:42.634 | INFO     | __main__:<module>:209 - Training time taken = 197.84 seconds, Evaluation time taken = nan seconds, loss = 0.03288, fid = None
2026-02-19 03:52:42.634 | INFO     | __main__:<module>:152 - Epoch = 85 / 240
2026-02-19 03:56:00.272 | INFO     | __main__:<module>:209 - Training time taken = 197.64 seconds, Evaluation time taken = nan seconds, loss = 0.03314, fid = None
2026-02-19 03:56:00.272 | INFO     | __main__:<module>:152 - Epoch = 86 / 240
2026-02-19 03:59:17.741 | INFO     | __main__:<module>:209 - Training time taken = 197.47 seconds, Evaluation time taken = nan seconds, loss = 0.03413, fid = None
2026-02-19 03:59:17.741 | INFO     | __main__:<module>:152 - Epoch = 87 / 240
2026-02-19 04:02:35.355 | INFO     | __main__:<module>:209 - Training time taken = 197.61 seconds, Evaluation time taken = nan seconds, loss = 0.03297, fid = None
2026-02-19 04:02:35.355 | INFO     | __main__:<module>:152 - Epoch = 88 / 240
2026-02-19 04:05:52.836 | INFO     | __main__:<module>:209 - Training time taken = 197.48 seconds, Evaluation time taken = nan seconds, loss = 0.03343, fid = None
2026-02-19 04:05:52.836 | INFO     | __main__:<module>:152 - Epoch = 89 / 240
2026-02-19 04:09:10.259 | INFO     | __main__:<module>:209 - Training time taken = 197.42 seconds, Evaluation time taken = nan seconds, loss = 0.03279, fid = None
2026-02-19 04:09:10.260 | INFO     | __main__:<module>:152 - Epoch = 90 / 240
2026-02-19 04:12:28.613 | INFO     | __main__:<module>:209 - Training time taken = 198.35 seconds, Evaluation time taken = nan seconds, loss = 0.03257, fid = None
2026-02-19 04:12:28.613 | INFO     | __main__:<module>:152 - Epoch = 91 / 240
2026-02-19 04:15:45.950 | INFO     | __main__:<module>:209 - Training time taken = 197.34 seconds, Evaluation time taken = nan seconds, loss = 0.03291, fid = None
2026-02-19 04:15:45.950 | INFO     | __main__:<module>:152 - Epoch = 92 / 240
2026-02-19 04:19:03.245 | INFO     | __main__:<module>:209 - Training time taken = 197.29 seconds, Evaluation time taken = nan seconds, loss = 0.03223, fid = None
2026-02-19 04:19:03.246 | INFO     | __main__:<module>:152 - Epoch = 93 / 240
2026-02-19 04:22:20.053 | INFO     | __main__:<module>:209 - Training time taken = 196.81 seconds, Evaluation time taken = nan seconds, loss = 0.03304, fid = None
2026-02-19 04:22:20.053 | INFO     | __main__:<module>:152 - Epoch = 94 / 240
